Timestamp,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf,0x10,0x11,0x12,0x13,0x14,0x15,0x16,0x17,0x18,0x19,0x1a,0x1b,0x1c,0x1d,0x1e,0x1f,0x20,0x21,0x22,0x23,0x24,0x25,0x26,0x27,0x28,0x29,0x2a,0x2b,0x2c,0x2d,0x2e,0x2f,0x30,0x31,0x32,0x33,0x34,0x35,0x36,0x37,0x38,0x39,0x3a,0x3b,0x3c,0x3d,0x3e,0x3f,0x40,0x41,0x42,0x43,0x44,0x45,0x46,0x47,0x48,0x49,0x4a,0x4b,0x4c,0x4d,0x4e,0x4f,0x50,0x51,0x52,0x53,0x54,0x55,0x56,0x57,0x58,0x59,0x5a,0x5b,0x5c,0x5d,0x5e,0x5f,0x60,0x61,0x62,0x63,0x64,0x65,0x66,0x67,0x68,0x69,0x6a,0x6b,0x6c,0x6d,0x6e,0x6f,0x70,0x71,0x72,0x73,0x74,0x75,0x76,0x77,0x78,0x79,0x7a,0x7b,0x7c,
2025-06-02 01:09:59.524750,431598859,431598859,431598859,431598859,169254454.50980392,431598819,3371766.0859375,3371766.0859375,3371766.0859375,3371766.0859375,1294796577,431598859,107899714.75,431598859,215799365.5,431598819,4315988.59,169254454.50980392,431598859,431598859,2157994.295,2157994.295,2157994.295,2157994.295,2157994.295,2157994.295,2157994.295,2157994.295,431598859,431598859,431598859,431598859,431598859,431598859,34096309.861,4315988590,13171.35189819336,13171.35189819336,13171.35189819336,13171.35189819336,13171.35189819336,13171.35189819336,13171.35189819336,13171.35189819336,169254454.50980392,337186508.59375,169254454.50980392,169254454.50980392,431598859,431598859,107899714.75,431598859,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,43159845.9,43159845.9,43159845.9,43159845.9,431598859,431598859,431598.859,169254454.50980392,13171.35189819336,169254454.50980392,431598819,169254454.50980392,169254454.50980392,169254454.50980392,169254454.50980392,169254454.50980392,169254454.50980392,431598859,431598859,431598859,4315988590,431598859,169254454.50980392,2157994.295,431598859,3371766.0859375,3371766.0859375,3371766.0859375,3371766.0859375,4315988590,169254454.50980392,169254454.50980392,431598819,3371656.0859375,21579942.95,431598859,431598859,431598734,431598734,431598859,169254454.50980392,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,431598859,
2025-06-02 01:09:59.581740,431603767,431603767,431603767,431603767,169256379.2156863,431603727,3371804.4296875,3371804.4296875,3371804.4296875,3371804.4296875,1294811301,431603767,107900941.75,431603767,215801819.5,431603727,4316037.67,169256379.2156863,431603767,431603767,2158018.835,2158018.835,2158018.835,2158018.835,2158018.835,2158018.835,2158018.835,2158018.835,431603767,431603767,431603767,431603767,431603767,431603767,34096697.593,4316037670,13171.501678466797,13171.501678466797,13171.501678466797,13171.501678466797,13171.501678466797,13171.501678466797,13171.501678466797,13171.501678466797,169256379.2156863,337190342.96875,169256379.2156863,169256379.2156863,431603767,431603767,107900941.75,431603767,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,43160336.7,43160336.7,43160336.7,43160336.7,431603767,431603767,431603.767,169256379.2156863,13171.501678466797,169256379.2156863,431603727,169256379.2156863,169256379.2156863,169256379.2156863,169256379.2156863,169256379.2156863,169256379.2156863,431603767,431603767,431603767,4316037670,431603767,169256379.2156863,2158018.835,431603767,3371804.4296875,3371804.4296875,3371804.4296875,3371804.4296875,4316037670,169256379.2156863,169256379.2156863,431603727,3371694.4296875,21580188.35,431603767,431603767,431603642,431603642,431603767,169256379.2156863,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,431603767,
2025-06-02 01:09:59.632710,431609720,431609720,431609720,431609720,169258713.72549018,431609680,3371850.9375,3371850.9375,3371850.9375,3371850.9375,1294829160,431609720,107902430.0,431609720,215804796.0,431609680,4316097.2,169258713.72549018,431609720,431609720,2158048.6,2158048.6,2158048.6,2158048.6,2158048.6,2158048.6,2158048.6,2158048.6,431609720,431609720,431609720,431609720,431609720,431609720,34097167.88,4316097200,13171.683349609375,13171.683349609375,13171.683349609375,13171.683349609375,13171.683349609375,13171.683349609375,13171.683349609375,13171.683349609375,169258713.72549018,337194993.75,169258713.72549018,169258713.72549018,431609720,431609720,107902430.0,431609720,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,43160932.0,43160932.0,43160932.0,43160932.0,431609720,431609720,431609.72,169258713.72549018,13171.683349609375,169258713.72549018,431609680,169258713.72549018,169258713.72549018,169258713.72549018,169258713.72549018,169258713.72549018,169258713.72549018,431609720,431609720,431609720,4316097200,431609720,169258713.72549018,2158048.6,431609720,3371850.9375,3371850.9375,3371850.9375,3371850.9375,4316097200,169258713.72549018,169258713.72549018,431609680,3371740.9375,21580486.0,431609720,431609720,431609595,431609595,431609720,169258713.72549018,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,431609720,
2025-06-02 01:09:59.703099,431617215,431617215,431617215,431617215,169261652.94117647,431617175,3371909.4921875,3371909.4921875,3371909.4921875,3371909.4921875,1294851645,431617215,107904303.75,431617215,215808543.5,431617175,4316172.15,169261652.94117647,431617215,431617215,2158086.075,2158086.075,2158086.075,2158086.075,2158086.075,2158086.075,2158086.075,2158086.075,431617215,431617215,431617215,431617215,431617215,431617215,34097759.985,4316172150,13171.912078857422,13171.912078857422,13171.912078857422,13171.912078857422,13171.912078857422,13171.912078857422,13171.912078857422,13171.912078857422,169261652.94117647,337200849.21875,169261652.94117647,169261652.94117647,431617215,431617215,107904303.75,431617215,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,0.200958251953125,43161681.5,43161681.5,43161681.5,43161681.5,431617215,431617215,431617.215,169261652.94117647,13171.912078857422,169261652.94117647,431617175,169261652.94117647,169261652.94117647,169261652.94117647,169261652.94117647,169261652.94117647,169261652.94117647,431617215,431617215,431617215,4316172150,431617215,169261652.94117647,2158086.075,431617215,3371909.4921875,3371909.4921875,3371909.4921875,3371909.4921875,4316172150,169261652.94117647,169261652.94117647,431617175,3371799.4921875,21580860.75,431617215,431617215,431617090,431617090,431617215,169261652.94117647,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,431617215,
2025-06-02 01:09:59.764071,431622860,431622860,431622860,431622860,169263866.6666667,431622820,3371953.59375,3371953.59375,3371953.59375,3371953.59375,1294868580,431622860,107905715.0,431622860,215811366.0,431622820,4316228.6,169263866.6666667,431622860,431622860,2158114.3,2158114.3,2158114.3,2158114.3,2158114.3,2158114.3,2158114.3,2158114.3,431622860,431622860,431622860,431622860,431622860,431622860,34098205.94,4316228600,13172.084350585938,13172.084350585938,13172.084350585938,13172.084350585938,13172.084350585938,13172.084350585938,13172.084350585938,13172.084350585938,169263866.6666667,337205259.375,169263866.6666667,169263866.6666667,431622860,431622860,107905715.0,431622860,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43162246.0,43162246.0,43162246.0,43162246.0,431622860,431622860,431622.86,169263866.6666667,13172.084350585938,169263866.6666667,431622820,169263866.6666667,169263866.6666667,169263866.6666667,169263866.6666667,169263866.6666667,169263866.6666667,431622860,431622860,431622860,4316228600,431622860,169263866.6666667,2158114.3,431622860,3371953.59375,3371953.59375,3371953.59375,3371953.59375,4316228600,169263866.6666667,169263866.6666667,431622820,3371843.59375,21581143.0,431622860,431622860,431622735,431622735,431622860,169263866.6666667,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,431622860,
2025-06-02 01:09:59.835072,431628968,431628968,431628968,431628968,169266261.96078432,431628928,3372001.3125,3372001.3125,3372001.3125,3372001.3125,1294886904,431628968,107907242.0,431628968,215814420.0,431628928,4316289.68,169266261.96078432,431628968,431628968,2158144.84,2158144.84,2158144.84,2158144.84,2158144.84,2158144.84,2158144.84,2158144.84,431628968,431628968,431628968,431628968,431628968,431628968,34098688.472,4316289680,13172.270751953125,13172.270751953125,13172.270751953125,13172.270751953125,13172.270751953125,13172.270751953125,13172.270751953125,13172.270751953125,169266261.96078432,337210031.25,169266261.96078432,169266261.96078432,431628968,431628968,107907242.0,431628968,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43162856.8,43162856.8,43162856.8,43162856.8,431628968,431628968,431628.968,169266261.96078432,13172.270751953125,169266261.96078432,431628928,169266261.96078432,169266261.96078432,169266261.96078432,169266261.96078432,169266261.96078432,169266261.96078432,431628968,431628968,431628968,4316289680,431628968,169266261.96078432,2158144.84,431628968,3372001.3125,3372001.3125,3372001.3125,3372001.3125,4316289680,169266261.96078432,169266261.96078432,431628928,3371891.3125,21581448.4,431628968,431628968,431628843,431628843,431628968,169266261.96078432,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,431628968,
2025-06-02 01:09:59.886175,431635691,431635691,431635691,431635691,169268898.43137255,431635651,3372053.8359375,3372053.8359375,3372053.8359375,3372053.8359375,1294907073,431635691,107908922.75,431635691,215817781.5,431635651,4316356.91,169268898.43137255,431635691,431635691,2158178.455,2158178.455,2158178.455,2158178.455,2158178.455,2158178.455,2158178.455,2158178.455,431635691,431635691,431635691,431635691,431635691,431635691,34099219.589,4316356910,13172.47592163086,13172.47592163086,13172.47592163086,13172.47592163086,13172.47592163086,13172.47592163086,13172.47592163086,13172.47592163086,169268898.43137255,337215283.59375,169268898.43137255,169268898.43137255,431635691,431635691,107908922.75,431635691,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43163529.1,43163529.1,43163529.1,43163529.1,431635691,431635691,431635.691,169268898.43137255,13172.47592163086,169268898.43137255,431635651,169268898.43137255,169268898.43137255,169268898.43137255,169268898.43137255,169268898.43137255,169268898.43137255,431635691,431635691,431635691,4316356910,431635691,169268898.43137255,2158178.455,431635691,3372053.8359375,3372053.8359375,3372053.8359375,3372053.8359375,4316356910,169268898.43137255,169268898.43137255,431635651,3371943.8359375,21581784.55,431635691,431635691,431635566,431635566,431635691,169268898.43137255,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,431635691,
2025-06-02 01:09:59.951145,431641682,431641682,431641682,431641682,169271247.84313723,431641642,3372100.640625,3372100.640625,3372100.640625,3372100.640625,1294925046,431641682,107910420.5,431641682,215820777.0,431641642,4316416.82,169271247.84313723,431641682,431641682,2158208.41,2158208.41,2158208.41,2158208.41,2158208.41,2158208.41,2158208.41,2158208.41,431641682,431641682,431641682,431641682,431641682,431641682,34099692.878,4316416820,13172.658752441406,13172.658752441406,13172.658752441406,13172.658752441406,13172.658752441406,13172.658752441406,13172.658752441406,13172.658752441406,169271247.84313723,337219964.0625,169271247.84313723,169271247.84313723,431641682,431641682,107910420.5,431641682,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43164128.2,43164128.2,43164128.2,43164128.2,431641682,431641682,431641.682,169271247.84313723,13172.658752441406,169271247.84313723,431641642,169271247.84313723,169271247.84313723,169271247.84313723,169271247.84313723,169271247.84313723,169271247.84313723,431641682,431641682,431641682,4316416820,431641682,169271247.84313723,2158208.41,431641682,3372100.640625,3372100.640625,3372100.640625,3372100.640625,4316416820,169271247.84313723,169271247.84313723,431641642,3371990.640625,21582084.1,431641682,431641682,431641557,431641557,431641682,169271247.84313723,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,431641682,
2025-06-02 01:10:00.002162,431647586,431647586,431647586,431647586,169273563.13725492,431647546,3372146.765625,3372146.765625,3372146.765625,3372146.765625,1294942758,431647586,107911896.5,431647586,215823729.0,431647546,4316475.86,169273563.13725492,431647586,431647586,2158237.93,2158237.93,2158237.93,2158237.93,2158237.93,2158237.93,2158237.93,2158237.93,431647586,431647586,431647586,431647586,431647586,431647586,34100159.294,4316475860,13172.838928222656,13172.838928222656,13172.838928222656,13172.838928222656,13172.838928222656,13172.838928222656,13172.838928222656,13172.838928222656,169273563.13725492,337224576.5625,169273563.13725492,169273563.13725492,431647586,431647586,107911896.5,431647586,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43164718.6,43164718.6,43164718.6,43164718.6,431647586,431647586,431647.586,169273563.13725492,13172.838928222656,169273563.13725492,431647546,169273563.13725492,169273563.13725492,169273563.13725492,169273563.13725492,169273563.13725492,169273563.13725492,431647586,431647586,431647586,4316475860,431647586,169273563.13725492,2158237.93,431647586,3372146.765625,3372146.765625,3372146.765625,3372146.765625,4316475860,169273563.13725492,169273563.13725492,431647546,3372036.765625,21582379.3,431647586,431647586,431647461,431647461,431647586,169273563.13725492,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,431647586,
2025-06-02 01:10:00.076080,431655196,431655196,431655196,431655196,169276547.4509804,431655156,3372206.21875,3372206.21875,3372206.21875,3372206.21875,1294965588,431655196,107913799.0,431655196,215827534.0,431655156,4316551.96,169276547.4509804,431655196,431655196,2158275.98,2158275.98,2158275.98,2158275.98,2158275.98,2158275.98,2158275.98,2158275.98,431655196,431655196,431655196,431655196,431655196,431655196,34100760.484,4316551960,13173.071166992188,13173.071166992188,13173.071166992188,13173.071166992188,13173.071166992188,13173.071166992188,13173.071166992188,13173.071166992188,169276547.4509804,337230521.875,169276547.4509804,169276547.4509804,431655196,431655196,107913799.0,431655196,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,0.20098876953125,43165479.6,43165479.6,43165479.6,43165479.6,431655196,431655196,431655.196,169276547.4509804,13173.071166992188,169276547.4509804,431655156,169276547.4509804,169276547.4509804,169276547.4509804,169276547.4509804,169276547.4509804,169276547.4509804,431655196,431655196,431655196,4316551960,431655196,169276547.4509804,2158275.98,431655196,3372206.21875,3372206.21875,3372206.21875,3372206.21875,4316551960,169276547.4509804,169276547.4509804,431655156,3372096.21875,21582759.8,431655196,431655196,431655071,431655071,431655196,169276547.4509804,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,431655196,
